DEL,,,,,,
DEL,,,,,,
12431,0,2010/12/1,10:03,21622,4.95,8
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
12431,0,2010/12/1,10:03,22727,3.75,4
12431,0,2010/12/1,10:03,22192,8.5,2
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
13705,0,2010/12/1,10:29,22127,1.25,12
DEL,,,,,,
13705,0,2010/12/1,10:29,22502,5.95,4
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
14307,0,2010/12/1,11:41,20982,0.85,12
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
14307,0,2010/12/1,11:41,21544,0.85,12
14307,0,2010/12/1,11:41,22813,1.95,12
DEL,,,,,,
14307,0,2010/12/1,11:41,84029E,3.75,4
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
14307,0,2010/12/1,11:41,84970L,0.95,12
14307,0,2010/12/1,11:41,21733,2.95,6
14307,0,2010/12/1,11:41,22465,1.65,12
DEL,,,,,,
14307,0,2010/12/1,11:41,20685,7.95,2
DEL,,,,,,
14307,0,2010/12/1,11:41,22488,1.65,12
14307,0,2010/12/1,11:41,22219,0.85,12
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
14307,0,2010/12/1,11:41,22766,2.95,8
DEL,,,,,,
DEL,,,,,,
14307,0,2010/12/1,11:41,22706,0.42,25
DEL,,,,,,
14307,0,2010/12/1,11:41,85014B,5.95,3
14307,0,2010/12/1,11:41,85014A,5.95,3
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17908,0,2010/12/1,11:45,22785,6.75,1
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17908,0,2010/12/1,11:45,90199C,6.35,1
17908,0,2010/12/1,11:45,21955,7.95,1
DEL,,,,,,
DEL,,,,,,
17908,0,2010/12/1,11:45,85116,2.1,5
DEL,,,,,,
17908,0,2010/12/1,11:45,21811,1.25,1
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17908,0,2010/12/1,11:45,84625A,2.95,1
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17908,0,2010/12/1,11:45,20668,0.12,24
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17908,0,2010/12/1,11:45,21866,1.25,1
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17908,0,2010/12/1,11:45,20713,1.95,1
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17908,0,2010/12/1,11:45,22866,2.1,1
DEL,,,,,,
17908,0,2010/12/1,11:45,21824,1.45,3
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17908,0,2010/12/1,11:45,85099B,1.95,2
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17908,0,2010/12/1,11:45,22900,2.95,1
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,90059E,1.65,3
DEL,,,,,,
17968,0,2010/12/1,12:23,90200C,4.25,1
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,84879,1.69,8
17968,0,2010/12/1,12:23,22086,2.95,1
17968,0,2010/12/1,12:23,22737,1.65,1
17968,0,2010/12/1,12:23,21260,3.25,1
17968,0,2010/12/1,12:23,22744,2.95,2
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,22297,1.25,1
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,16258A,0.42,1
17968,0,2010/12/1,12:23,21992,2.95,1
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,22735,1.65,2
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,21815,1.45,4
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,22810,2.95,1
17968,0,2010/12/1,12:23,22573,0.85,1
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,22809,2.95,1
17968,0,2010/12/1,12:23,20878,1.25,1
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,22866,2.1,1
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,22558,1.49,2
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,21121,1.25,1
17968,0,2010/12/1,12:23,21122,1.25,1
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,85231G,0.85,5
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,21329,1.65,1
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,21992,2.95,1
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,85099C,1.95,1
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,85231B,0.85,2
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
17968,0,2010/12/1,12:23,22441,2.1,1
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
16955,0,2010/12/1,13:31,22825,7.95,2
16955,0,2010/12/1,13:31,22680,1.25,20
16955,0,2010/12/1,13:31,22797,16.95,3
DEL,,,,,,
DEL,,,,,,
14911,0,2010/12/1,14:05,85071A,2.95,6
14911,0,2010/12/1,14:05,85071C,2.55,6
DEL,,,,,,
14911,0,2010/12/1,14:05,21579,2.25,6
DEL,,,,,,
14911,0,2010/12/1,14:05,22147,1.45,12
14911,0,2010/12/1,14:05,22150,1.95,12
DEL,,,,,,
DEL,,,,,,
14911,0,2010/12/1,14:05,21833,1.69,12
DEL,,,,,,
14911,0,2010/12/1,14:05,85136A,7.95,2
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
