12365,f,1970/1/1,Others
12373,f,1960/1/1,Others
12378,f,1960/1/1,Others
12384,f,1950/1/1,Others
12393,f,1960/1/1,Others
12412,f,1960/1/1,Others
12455,f,1960/1/1,Others
12483,f,1960/1/1,Others
12513,f,1960/1/1,France
12566,f,1950/1/1,Germany
12579,f,1950/1/1,France
12619,f,1950/1/1,Germany
12635,f,1950/1/1,Germany
12640,f,1960/1/1,France
12647,f,1950/1/1,Germany
12654,f,1950/1/1,Germany
12670,f,1960/1/1,France
12672,f,1950/1/1,France
12683,f,1950/1/1,France
12703,f,1950/1/1,Germany
12704,f,1970/1/1,Others
12721,f,1950/1/1,France
12722,f,1950/1/1,France
12733,f,1960/1/1,Others
12739,f,1950/1/1,Others
12748,f,1980/1/1,United Kingdom
12753,f,1960/1/1,Others
12759,f,1970/1/1,Others
12763,f,1950/1/1,Others
12764,f,1960/1/1,Others
12793,f,1960/1/1,Others
12821,f,1950/1/1,United Kingdom
12838,m,1970/1/1,United Kingdom
12842,f,1960/1/1,United Kingdom
12872,f,1960/1/1,United Kingdom
12873,m,1960/1/1,United Kingdom
12884,f,1950/1/1,United Kingdom
12928,f,1960/1/1,United Kingdom
12931,f,1980/1/1,United Kingdom
12955,m,1930/1/1,United Kingdom
12957,f,1970/1/1,United Kingdom
12976,f,1940/1/1,United Kingdom
12993,f,1950/1/1,United Kingdom
13011,f,1960/1/1,United Kingdom
13012,f,1960/1/1,United Kingdom
13035,f,1980/1/1,United Kingdom
13050,f,1950/1/1,United Kingdom
13081,f,1950/1/1,United Kingdom
13082,f,1950/1/1,United Kingdom
13090,f,1960/1/1,United Kingdom
13098,f,1950/1/1,United Kingdom
13101,f,1950/1/1,United Kingdom
13118,f,1960/1/1,United Kingdom
13121,f,1960/1/1,United Kingdom
13130,f,1950/1/1,United Kingdom
13138,f,1960/1/1,United Kingdom
13139,f,1940/1/1,United Kingdom
13145,m,1960/1/1,United Kingdom
13184,f,1950/1/1,United Kingdom
13187,f,1950/1/1,United Kingdom
13188,f,1960/1/1,United Kingdom
13213,f,1930/1/1,United Kingdom
13236,f,1960/1/1,United Kingdom
13238,f,1970/1/1,United Kingdom
13249,f,1960/1/1,United Kingdom
13262,f,1960/1/1,United Kingdom
13271,f,1980/1/1,United Kingdom
13297,f,1960/1/1,United Kingdom
13301,f,1950/1/1,United Kingdom
13314,m,1970/1/1,United Kingdom
13338,f,1940/1/1,United Kingdom
13345,f,1940/1/1,United Kingdom
13352,f,1950/1/1,United Kingdom
13356,f,1950/1/1,United Kingdom
13385,f,1940/1/1,United Kingdom
13396,m,1960/1/1,United Kingdom
13425,f,1930/1/1,United Kingdom
13428,m,1960/1/1,United Kingdom
13434,f,1950/1/1,United Kingdom
13464,m,1950/1/1,United Kingdom
13481,f,1960/1/1,United Kingdom
