L15100DE,0,2010/12/1,9:09,21258,10.95,32
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
L12431DE,0,2010/12/1,10:03,35004G,6.35,4
DEL,,,,,,
L12431DE,0,2010/12/1,10:03,85014A,5.95,3
DEL,,,,,,
L12431DE,0,2010/12/1,10:03,22726,3.75,4
DEL,,,,,,
DEL,,,,,,
L12431DE,0,2010/12/1,10:03,22191,8.5,2
DEL,,,,,,
DEL,,,,,,
L13705DE,0,2010/12/1,10:29,22150,1.95,6
DEL,,,,,,
L13705DE,0,2010/12/1,10:29,21891,1.25,12
DEL,,,,,,
L13705DE,0,2010/12/1,10:29,22827,165,1
L13705DE,0,2010/12/1,10:29,22127,1.25,12
L13705DE,0,2010/12/1,10:29,22128,1.25,12
L13705DE,0,2010/12/1,10:29,22502,5.95,4
DEL,,,,,,
L13705DE,0,2010/12/1,10:29,22338,0.65,24
DEL,,,,,,
DEL,,,,,,
L14307DE,0,2010/12/1,11:41,20982,0.85,12
DEL,,,,,,
L14307DE,0,2010/12/1,11:41,21915,1.25,12
DEL,,,,,,
L14307DE,0,2010/12/1,11:41,21544,0.85,12
DEL,,,,,,
L14307DE,0,2010/12/1,11:41,22114,3.95,4
DEL,,,,,,
L14307DE,0,2010/12/1,11:41,21479,3.75,4
L14307DE,0,2010/12/1,11:41,22964,2.1,6
DEL,,,,,,
DEL,,,,,,
L14307DE,0,2010/12/1,11:41,22178,1.25,12
L14307DE,0,2010/12/1,11:41,84970L,0.95,12
L14307DE,0,2010/12/1,11:41,21733,2.95,6
DEL,,,,,,
DEL,,,,,,
L14307DE,0,2010/12/1,11:41,20685,7.95,2
DEL,,,,,,
L14307DE,0,2010/12/1,11:41,22488,1.65,12
L14307DE,0,2010/12/1,11:41,22219,0.85,12
DEL,,,,,,
L14307DE,0,2010/12/1,11:41,21754,5.95,3
L14307DE,0,2010/12/1,11:41,21755,5.95,3
DEL,,,,,,
DEL,,,,,,
L14307DE,0,2010/12/1,11:41,22716,0.42,12
L14307DE,0,2010/12/1,11:41,22706,0.42,25
L14307DE,0,2010/12/1,11:41,22371,4.25,4
DEL,,,,,,
DEL,,,,,,
L14307DE,0,2010/12/1,11:41,84997B,3.75,6
DEL,,,,,,
L14307DE,0,2010/12/1,11:41,21210,1.45,12
L14307DE,0,2010/12/1,11:41,22914,4.95,3
L14307DE,0,2010/12/1,11:41,22553,1.65,12
DEL,,,,,,
DEL,,,,,,
L14307DE,0,2010/12/1,11:41,22812,1.95,12
L14307DE,0,2010/12/1,11:41,84347,2.55,6
DEL,,,,,,
L14307DE,0,2010/12/1,11:41,22736,1.65,10
L14307DE,0,2010/12/1,11:41,22492,0.65,36
L14307DE,0,2010/12/1,11:41,22620,1.25,12
DEL,,,,,,
DEL,,,,,,
DEL,,,,,,
L17908DE,0,2010/12/1,11:45,21479,3.75,1
